aesthetic,related
Tweencore,"['Animecore', 'Barbiecore', 'Coconut Girl', 'Cyber Stylin%27', 'Heisei Retro', 'High School Dream', 'Kidcore', 'McBling', 'Milipili', 'Scene', 'Teenpunk', 'The WB Crush', 'Total Afternoon Live', 'Webcore']"
Twilightcore,"['Dark Naturalism', 'Dark Y2K', 'Fairy Grunge', 'Fantasy', 'FantasY2K', 'Female Horror Game Protagonist Fashion', 'Krushclub', 'Vampire', 'Werewolf']"
Ukiyo-e,"['Art Academia', 'Ero-Guro', 'Post-Impressionism', 'Vaporwave', 'Y%C5%8Dkai']"
Ukrainian New Wave,"['Expressionism', 'Fantasy', 'Impressionism', 'Modernism', 'Neoclassicism', 'Photorealism']"
Ultra-Realistic Meme,"['Caricaturism', 'Photorealism', 'Realism', 'So Retro']"
Ultraviolet Crush,"['Alternative', 'Cheiron Crush', 'Hair Metal', 'Hip-Hop', 'Memphis Design', 'MTV Green Sky', 'MTV 2 Overcast', 'R%26B', 'TGIF Crush', 'Urbancore']"
Ulzzang,[]
Unicorncore,"['Sparklecore', 'Rainbowcore', 'Pastel Academia', 'Fairy Kei', 'Yume Kawaii', 'Kawaii', 'Happycore', 'Spacecore', 'Pastel Punk', 'Pastel Goth', 'Bubblegum Witch', 'Witchcore', 'Wormcore']"
Uptown Girl,"['Downtown Girl', 'Coquette', 'Delicate Sweet', 'Preppy']"
Urbancore,"['Club', 'Disco', 'Raver', 'Gangsta Rap', 'Grunge', 'Hip-Hop', 'Krushclub', 'Lo-Fi', 'Metal', 'Ultraviolet Crush', 'Punk', 'R%26B', 'Reggaetonero', 'Rock', 'Witch House', 'After Hours', 'Art Hoe', 'Baddie', 'Bleak Crush', 'Boujee', 'Cani', 'Dazecore', 'Dizela%C5%A1i', 'Doomer', 'Drain', 'Fe%C3%ADsmo', 'Figuration Narrative', 'Gen X Soft Club', 'Grime Art', 'Harajuku Fashion', 'Hip-Hop', 'Hipness Purgatory', 'Hypebeast', 'Ligne Claire', 'Liminal Space', 'Miami Metro', 'Moe Swag', 'Nostalgiacore', 'Nouveau R%C3%A9alisme', 'Pokem%C3%B3n', 'Precisionism', 'Punk', 'Raxet', 'Shibuya Punk', 'Skater', 'Soviet Brutalism', 'Superflat Pop', 'Surf Crush', 'Techwear', 'Trashcore', 'Urban Fantasy', 'UrBling', 'Vectorheart', 'Visual Pollution', 'Wimmelbilderbuch', 'Zenitism']"
Urban Fantasy,"['Dragoncore', 'Dungeonpunk', 'Fantasy', 'FantasY2K', 'Urbancore', 'Vampire', 'Witchcore', 'Witchy Academia']"
UrBling,"['Alternative', 'Bastardcore', 'Bleak Crush', 'Brutal Industrial', 'Corporate Grunge', 'Cybercore', 'DORFic', 'ElectroPop 08', 'Emo', 'Four Colors', 'Frutiger Aero', 'Frutiger Metro', 'Gangsta Rap', 'Gen X Soft Club', 'Grindhouse', 'Grunge', 'Hip-Hop', 'Hipness Purgatory', 'Home 2K', 'McBling', 'Metalheart', 'Military', 'Moe Swag', 'MTV 2 Overcast', 'Neo-Tribal', 'Nu-Metal', 'Olderbrothercore', 'Punk', 'Scene', 'Shibuya Punk', 'Skater', 'Superflat Pop', 'Surf Crush', 'Tecktonik', 'Teenpunk', 'Urbancore', 'Xpiritualism', '2K1', '2K7', '7 HD']"
Utopian Scholastic,"['Frutiger Aero', 'Global Village Coffeehouse', 'Kid Science', 'Science Academia', 'Memphis Design', 'Y2K', 'Silicon Dreams']"
Vacation Dadcore,"['Cartelcore', 'Lounge', 'Poolcore', 'Reefwave', 'Summer', 'Tropical', 'Vaporwave', 'Lo-Fi', 'Beach Day', 'Arcadecore', 'Tiki']"
Vampire,"['Anime New Moon', 'Aristocrat', 'Catholic Horror', 'Devilcore', 'Gesugao', 'Goth', 'Gothic', 'Opium', 'Romantic Goth', 'Victorian', 'Victorian Goth', 'Werewolf', 'Witchcore']"
Vanilla Girl,"['Clean Girl', 'Minimalism', 'Coquette Academia', 'That Girl', 'Delicate Sweet', 'Milk']"
Vaporwave,"['2010s Internet', 'Animecore', 'Cassette Futurism', 'City Pop', 'Cleancore', 'Cybercore', 'Cyberdelic', 'Cyberpunk', 'Doomer', 'Dopamine', 'Dreamy', 'Drugcore', 'Frutiger Aero', 'Future Funk', 'Glitchcore', 'Glowwave', 'Grime Art', 'Hauntology', 'Hellenic', 'Holosexual', 'Icepunk', 'Internet Awesomesauce', 'Liminal Space', 'Lo-Fi', 'Lounge', 'Mallsoft', 'Memphis Design', 'Neo-Pop', 'Neubrutalism', 'New Age', 'New Romantic', 'New Wave', 'Nostalgiacore', 'Politicalwave', 'R%26B', 'Seapunk', 'Silicon Dreams', 'Slimepunk', 'Surreal Memer', 'Synthwave', 'Trillwave', 'Tropical Disco', 'Visual Pollution', 'Weathercore', 'Webcore', 'Weirdcore', 'Witch House']"
VARIOUSXYZ,"['Kidcore', 'Vaporwave']"
Vectorcore,"['Cassette Futurism', 'Laser Grid', 'Hacker', 'Hexatron', 'Low Poly', 'Vectorflourish', 'Vectorheart', 'Arcadecore', 'Vaporwave']"
Vectorflourish,"['Art Nouveau', 'Bloomcore', 'Blingeecore', 'Disco Polo', 'DORFic', 'Emo', 'Frutiger Aero', 'Frutiger Aurora', 'Frutiger Eco', 'Frutiger Metro', 'Helvetica Aqua Aero', 'McBling', 'Minimalism', 'Psychedelica', 'Scene', 'Superflat Pop', 'UrBling', 'Vectorheart']"
Vectorheart,"['Abstract Tech', 'Breakcore', 'Cybercore', 'Cyberpunk', 'Flat Design', 'Frutiger Metro', 'Gen X Soft Club', 'Hexatron', 'Metalheart', 'Superflat Pop', 'Urbancore', 'Word Cloud', 'Y2K']"
Vh1 Sepia Sky,"['Alternative', 'Cheiron Crush', 'Gangsta Rap', 'Grunge', 'Hip-Hop', 'Indie', 'MTV Green Sky', 'MTV 2 Overcast', 'TGIF Crush', 'The WB Crush', 'The Box 96', 'Total Afternoon Live', 'Ultraviolet Crush', 'UrBling', '2K5', '7 HD']"
Vibrant Academia,"['Twee', 'Pastel Academia', 'Light Academia', 'Studyblr', 'Kidcore']"
Victorian,"['Aristocrat', 'Arts and Crafts Movement', 'Classic Lolita', 'Dandy', 'Dark Academia', 'Darkest Academia', 'Gothic', 'Lolita', 'Rococo', 'Romanesque', 'Spanish Golden Age', 'Steampunk', 'Victorian Goth', 'Vintage British Sportsman']"
Victorian Goth,"['Aristocrat', 'Goth', 'Victorian', 'Romantic Goth']"
Victorian Urban Poverty,"['Victorian', 'Urbancore']"
Viking,"['Neo-Vikings', 'Northerness']"
Villagecore,['Cottagecore']
Villaincore,"['Camp', 'Cybervillain', 'Darkest Academia', 'Devilcore', 'Gorecore', 'Halloween', 'Horror', 'Mad Scientist', 'Queer Villainy', 'Vampire', 'Victorian', 'Yandere', 'Zombie Apocalypse']"
Vintage Americana,"['Americana', 'Coquette', 'Diner', '50s Suburbia']"
Vintage British Sportsman,"['Dark Academia', 'Golden Age of Detective Fiction', 'Old Money', 'Preppy']"
Vintage Hero,[]
Violencecore,"['Bastardcore', 'Devilcore', 'Gesugao', 'Gorecore', 'Lovecore', 'Medicalcore', 'Necrotrap', 'Larpercore', 'Punk', 'Revcore', 'Rock', 'Trashcore', 'Traumacore', 'Yandere']"
Virgo%27s Tears,"['Auroracore', 'Bloomcore', 'Mori Kei', 'Naturecore', 'New Age', 'Spacecore', 'Witchcore']"
Visual Kei,"['Deathrock', 'Ero-Guro', 'Glam Rock', 'Goth', 'Goth Punk', 'Hair Metal', 'Oshare Kei', 'Punk', 'New Romantic', 'Shironuri']"
Visual Pollution,"['Cyberpunk', 'City Pop', 'Itasha', 'Neo-Tokyo', 'Retro-Futurism', 'Synthwave', 'Tropical Disco', 'Urbancore', 'Vaporwave', 'Wimmelbilderbuch', 'Maximalism']"
Voidcore,"['Dreamcore', 'Traumacore', 'Weirdcore', 'Cryptidcore', 'Liminal Space', 'After Hours', 'Morute', 'Witch House', 'Spacecore', 'Void-Meme']"
Void-Meme,"['Edgy Meme', 'Dank Meme Voyage', 'Deep TikTok', 'Bastardcore', 'Feralcore', 'Digital Horror', 'Horror', 'Old Meme']"
Voidpunk,"['Punk', 'Traumacore', 'Cryptidcore', 'Queercore', 'Alien']"
Vorticism,"['Aeropittura', 'Art Academia', 'Art Hoe', 'Modernism']"
VSCO,"['Art Hoe', 'E-Girl', 'Hipster', 'Milipili', 'Surf Crush', 'VSCO Preppy', '2014 Tumblr']"
VSCO Preppy,"['VSCO', 'Preppy']"
Vulture Culture,"['Cottagecore', 'Cottagegore', 'Crowcore', 'Forestpunk', 'Goblincore', 'Naturecore', 'Strega']"
Wabi-Sabi,"['Art Academia', 'Craftcore']"
Waif,"['Coquette', 'Dark Nymphet', 'Dollette', 'Femcel Weeaboo', 'Heroin Chic', 'Incel', 'Lobotomy Chic', 'Morute', 'Nymphet', 'Preppy', 'PSY-OP Girl', 'Trailer Park Princess']"
Waldorf,['Cottagecore']
Wanderlust,"['Adventurecore', 'Americana', 'Dark Paradise', 'Foodie', 'Fantasy', 'Northerness', 'Pink Parisian', 'Romantic Italian', 'Tomato Girl Summer', 'Vacation Dadcore']"
Warmcore,"['Bloomcore', 'Cottagecore', 'Ethereal', 'Dreamy', 'Heatwave', 'Naturecore']"
Weathercore,"['Nostalgiacore', 'Vaporwave']"
Webcore,"['2000s Virtual Singer', '2010s Internet', 'Animecore', 'Blingeecore', 'Captchacore', 'Cartooncore', 'Corporate Memphis', 'Cybercore', 'Cyberdelic', 'Cyberpunk', 'Cyberspace Webrooms', 'Cyber Stylin%27', 'Denpa', 'Digital Oddity', 'Dreamcore', 'Emo', 'Flat Design', 'Four Colors', 'Frutiger Aero', 'Funwaacore', 'Glowwave', 'Gra%C5%BCynacore', 'Internet Awesomesauce', 'Kidcore', 'Memphis Lite', 'Mizuiro', 'MS Paint', 'Nostalgiacore', 'Pixelboard', 'Pixel UI', 'Poster Gal', 'Scene', 'Sextrance', 'So Retro', 'Surrealism', 'Tweencore', 'Utopian Scholastic', 'Vaporwave', 'Weirdcore', 'Word Cloud', 'Xpiritualism']"
Web Creep,"['Cryptidcore', 'Cyberpunk']"
Weeaboo,"['Animecore', 'E-Boy', 'E-Girl', 'Erokawa', 'Femcel Weeaboo', 'Furry', 'Hot Topic', 'Itasha', 'Kawaii', 'Kawaii Gamer', 'Mall Ninja', 'Moe', 'Neko', 'Nerdcore', 'Larpercore', 'Nostalgiacore', 'Sanriocore', 'Tacticool', 'Tweencore', 'Wota', 'Yandere']"
Weirdcore,"['After Hours', 'Bastardcore', 'Blingeecore', 'Dreamcore', 'Feralcore', 'Frutiger Aero', 'Kidcore', 'Liminal Space', 'Nostalgiacore', 'Surrealism', 'Vaporwave', 'Webcore', 'Xpiritualism']"
Welwitschia Goth,"['Blingeecore', 'Mallgoth', 'Gothic Lolita', 'Morute', 'Catholic Horror', 'Cottagegore', 'Gurokawa', 'Gothic', 'Emo', 'Scene', 'Dark Fantasy', 'Visual Kei']"
Werewolf,"['Fantasy', 'Vampire', 'Witchcore', 'Halloween', 'Horror', 'Monstercore', 'Zombie Apocalypse']"
Western,"['Americana', 'Cottagecore', 'Country', 'Desertwave', 'Prairie']"
Wetcore,"['Gloomcore', 'Junglecore', 'Ocean Academia', 'Seapunk', 'Nautical', 'Country', 'Naturecore', 'Soggy']"
Whimsical Coquette,"['Bubblegum Witch', 'Coquette', 'Coquette Academia', 'Cottagecore', 'Dollette', 'Ethereal', 'Fairycore', 'Princesscore', 'Royalcore']"
Whimsigothic,"['Cottagecore', 'FantasY2K', 'Gothic', 'Witchcore']"
Wholesome Meme,"['Busukawaii', 'Cartooncore', 'Dank Meme Voyage', 'Deep Fried Meme', 'Gra%C5%BCynacore', 'Happycore', 'Kidcore', 'Moe Swag', 'Lovecore', 'Superflat Pop', 'Surreal Memer', 'Silly']"
Wild Child,"['Adventurecore', 'Indie', 'Naturecore', 'Hipster', 'Tomboy']"
Wimmelbilderbuch,"['Cartooncore', 'Cyberspace Webrooms', 'Ligne Claire', 'Pixelboard', 'Urbancore', 'Visual Pollution']"
Winter,"['Icepunk', 'Christmas', 'Winter Fairy Coquette', 'Comfy/Cozy', 'Snow Bunny', 'Autumn', 'Spring', 'Summer']"
Winter Academia,"['Classic Academia', 'Dark Academia', 'Darkest Academia']"
Winter Fairy Coquette,"['Avant Apocalypse', 'Comfy/Cozy', 'Communist Chic', 'Coquette', 'Delicate Sweet', 'Fairy Grunge', 'Gopnik', 'Icepunk', 'Kinderwhore', 'Mori Kei', 'New Spanish Catholic Girl', 'Nymphet', 'Snow Bunny', 'Softie', 'Waif', 'Winter']"
Witchcore,"['Angelcore', 'Bloomcore', 'Bubblegum Witch', 'Cabincore', 'Cottagecore', 'Cottagegore', 'Cryptidcore', 'Cryptid Academia', 'Dark Fantasy', 'Devilcore', 'Dragoncore', 'Goth', 'Gothic', 'Goblincore', 'Halloween', 'Hellenic', 'Honeycore', 'Horror', 'Medieval Fantasy', 'Metal', 'Mossy', 'Naturecore', 'Neo-Celtic', 'New Age', 'Ravencore', 'Sextrance', 'Strega', 'Werewolf', 'Witch House', 'Witchy Academia']"
Witch House,"['Nu-Goth', 'Cyberpunk', 'Goth', 'Halloween', 'Health Goth', 'Horror', 'Mallgoth', 'Seapunk', 'Synthwave', 'Urbancore', 'Vaporwave', 'Witchcore']"
Witchy Academia,"['Dark Academia', 'Darkest Academia', 'Light Academia', 'Studyblr', 'Studyplace', 'Witchcore']"
Wixa,"['Alien', 'Bakala', 'Belgian New Beat', 'Cybercore', 'Cybergoth', 'Dresiarz', 'Gabber', 'Gopnik', 'Hands Up', 'Neo-Tribal', 'Raver', 'Rivethead', 'Tecktonik', 'Trashy Raver']"
Wizardcore,"['Witchcore', 'Dark Academia', 'Light Academia', 'Chaotic Academia', 'Fantasy', 'Fantasy Astronomy', 'Cabincore', 'Naturecore', 'Goblincore', 'Wizardposting']"
Wizardposting,"['Wizardcore', 'Acidwave', 'Fantasy']"
Wonderland,"['Chaotic Academia', 'Cottagecore', 'Cottagegore', 'Spiritcore', 'Weirdcore']"
Word Cloud,"['Flat Design', 'Frutiger Metro', 'Vectorheart']"
Wormcore,"['Kidcore', 'Nostalgiacore', 'Pride flags', 'Weirdcore', 'Feralcore', 'Unicorncore']"
Wota,"['Animecore', 'Itasha', 'Otaku']"
Writer Academia,"['Art Academia', 'Classic Academia', 'Coffee House/Cafe', 'Dark Academia', 'Light Academia', 'Romantic Academia']"
Wuxia,['Adventurecore']
XO,"['Dark Nymphet', 'Drugcore', 'Grunge', 'Indie Sleaze', 'Pale Grunge', 'Party Animal', 'Sadpeople', 'Stripcore']"
Xpiritualism,"['Animecore', 'Arabfunny', 'Balkan Violence Tumblr', 'Blingeecore', 'Bootleg Game', 'Captchacore', 'Cybercore', 'Cyberspace Webrooms', 'Deep TikTok', 'Denpa', 'Digital Horror', 'Digital Oddity', 'Dollar Store Vernacular', 'Drain', 'Dreamcore', 'Edgy Meme', 'ElsaGate', 'Fotonight Web', 'Frutiger Aero', 'Gopnik', 'Gross-Out Horror', 'Hands Up', 'Hyperborean', 'Jejemon', 'Neo-Tribal', 'Pokem%C3%B3n', 'Randumb', 'Raver', 'Scene', 'Shamate', 'Sextrance', 'Shanzhai', 'Sigilkore', 'Skeuomorphism', 'Slimepunk', 'Soviet Nostalgia', 'Tecktonik', 'Trashy Raver', 'UrBling', 'Weirdcore']"
Y2K,"['2000s Virtual Singer', 'Bratzcore', 'Barbiecore', 'Blingeecore', 'Bubblegum Dance', 'Cheiron Crush', 'Cybercore', 'Cyber Stylin%27', 'Dark Y2K', 'Disco Polo', 'Emo', 'FantasY2K', 'Gen X Soft Club', 'Hands Up', 'Liminal Space', 'McBling', 'Cyber Grunge', 'MTV Green Sky', 'Nostalgiacore', 'Scene', 'Shibuya Punk', 'Surf Crush', 'So Retro', 'Synthwave', 'Technoneko2000', 'Tecktonik', 'Twilightcore', 'UrBling', 'Webcore', '2K1', '2K7']"
Yakuza,"['Drugcore', 'Italian Mafia', 'Cartelcore']"
Yami Kawaii,"['Animecore', 'Drugcore', 'Dual Kawaii', 'Harajuku Fashion', 'Jirai Kei', 'Medicalcore', 'Morute', 'Pastel Goth', 'PEEPS', 'Sadpeople', 'Traumacore', 'Yume Kawaii', 'Kimoicore', 'Kuromicore']"
Yandere,"['Animecore', 'Cutecore', 'Erokawa', 'Gesugao', 'Gurokawa', 'Mind Murder', 'Nanchatte Seifuku', 'Traumacore', 'Yami Kawaii']"
Yanki,"['Bosozoku', 'Sukeban', 'Gyaru', 'Greaser', 'Yakuza', 'Bankara']"
Yellow Academia,"['Autumn Academia', 'Classic Academia', 'Floral Academia', 'Green Academia', 'Light Academia', 'Red Academia']"
Y%C3%A9-y%C3%A9 Girl,"['Beatnik', 'City Pop', 'Dolly Girl', 'Flapper', 'French It Girl', 'Hippie', 'Mod', 'Pop Art', 'Rock']"
Y%C5%8Dkai,"['Monstercore', 'Spiritcore', 'Ukiyo-e', 'Horror']"
Youthquake,"['Hippie', 'Mod']"
Yume Kawaii,"['Animecore', 'Babycore', 'Decora', 'Denpa', 'Dreamy', 'Dual Kawaii', 'Fairy Kei', 'Harajuku Fashion', 'Kawaii', 'Mizuiro', 'Shoujo', 'Unicorncore', 'Yami Kawaii']"
Zenitism,"['Avant-garde', 'Bauhaus', 'Constructivism', 'Cubism', 'Expressionism', 'Signalism', 'Urbancore']"
Zombie Apocalypse,"['Coffinwood', 'Dullcore', 'Grime Art', 'Grunge', 'Military', 'Paramilitary', 'Post-Apocalyptic', 'Soggy']"
